sample_id,gut_endothelial_cell,CD8_positive_alpha_beta_T_cell,fibroblast,paneth_cell_of_colon,B_cell
Mixture1,0.14650250159645498,0.19453908287841468,0.37487703734431366,0.28408137818081663,0.0
Mixture2,0.21728624554581363,0.19184534653080057,0.0,0.418804978971722,0.17206342895166382
Mixture3,0.0,0.28114810429602877,0.3046559830631754,0.1874916075943843,0.22670430504641148
Mixture4,0.0657118359984495,0.1963773238930889,0.2886257274429411,0.26741515952332856,0.18186995314219193
Mixture5,0.18414197512933386,0.14862323648436632,0.29755887757282545,0.138339085998747,0.23133682481472737
Mixture6,0.20898816617691074,0.2892418882019623,0.297566658946565,0.0,0.20420328667456197
Mixture7,0.10494480829882873,0.1315670820248772,0.43422678243319823,0.22148884651639314,0.10777248072670266
Mixture8,0.14000631119135348,0.21194719794638212,0.36023852198085665,0.1557285459422556,0.13207942293915217
Mixture9,0.0,0.21713258108811984,0.3191840854344082,0.33593871020491806,0.127744623272554
Mixture10,0.12742719589740373,0.2513342034638607,0.3153790973012132,0.3058595033375223,0.0
Mixture11,0.24904119812739187,0.1444167922334425,0.2503679234784582,0.22935677451322636,0.1268173116474811
Mixture12,0.09492917337830527,0.17304984123287134,0.20076530740735976,0.3431810443738877,0.18807463360757598
Mixture13,0.1791538778658596,0.09635260762485609,0.28813002991805553,0.26548784864813935,0.1708756359430895
Mixture14,0.23367407534789272,0.1962889153924443,0.3113121787221677,0.2587248305374953,0.0
Mixture15,0.19865426395019561,0.3004228296181707,0.0,0.3585971433721481,0.14232576305948566
Mixture16,0.2616018164786486,0.0,0.2318615949033876,0.20207119676684449,0.3044653918511193
Mixture17,0.186499658721166,0.13803312615237318,0.27987418854554474,0.3130297010361789,0.08256332554473715
Mixture18,0.12689077214537697,0.22857060368956233,0.3773592742485866,0.16929597766635254,0.09788337225012146
Mixture19,0.24638490048964495,0.18216603816818974,0.4067716780752953,0.0,0.16467738326687004
Mixture20,0.19209031486642036,0.18770580716659815,0.18544550730445472,0.21051548886238405,0.22424288180014268
Mixture21,0.2606452340388825,0.37270461715503717,0.22732641453977276,0.0,0.13932373426630756
Mixture22,0.1427379338191067,0.16027384352113752,0.22964493166445002,0.25530335762238376,0.21203993337292198
Mixture23,0.0,0.22855041268788798,0.3795512278460038,0.18569243583833123,0.206205923627777
Mixture24,0.0,0.24083180857491868,0.39582178085936875,0.1701057286145229,0.19324068195118976
Mixture25,0.11824306767096436,0.0,0.33548162851325275,0.28124448642667593,0.26503081738910694
Mixture26,0.10284524355887929,0.20152014750067967,0.33767775958454255,0.19012470459976602,0.16783214475613253
Mixture27,0.1475760415346449,0.361526820076253,0.0,0.3011982231313824,0.18969891525771965
