sample_id,skeletal_muscle_satellite_stem_cell,pericyte_cell,endothelial_cell_of_vascular_tree,macrophage,mesenchymal_stem_cell,tendon_cell,capillary_endothelial_cell,fast_muscle_cell,endothelial_cell_of_artery,slow_muscle_cell,endothelial_cell_of_lymphatic_vessel
Mixture1,0.16666226579111468,0.08706271082666635,0.19837902999830168,0.0963626950880218,0.27949119257188587,0.03798232647669322,0.080340969120141,0.02853659623401006,0.0,0.0,0.02518221389316532
Mixture2,0.21940633825963257,0.0,0.0,0.09472869547467384,0.41855067604141855,0.04628862528690593,0.1304036376744708,0.03625548163375176,0.022965987123142666,0.016641754487698092,0.014758804018305689
Mixture3,0.29016794483124736,0.09040507863624117,0.16813848759003655,0.11884382101864426,0.0,0.0,0.14244737989785333,0.04803710291966278,0.030561496353916043,0.06583886819638411,0.04555982055601451
Mixture4,0.12019092524247298,0.0980407683990113,0.17885983040423908,0.11047208636444102,0.26790906464423664,0.040218051088062326,0.08028924710614804,0.030184962466776016,0.03546895655723468,0.02349942822017681,0.014866679507201174
Mixture5,0.15423378067602353,0.07054579755119458,0.180815100881685,0.05787485353129517,0.34319312872006097,0.04604578879600599,0.07200827060776274,0.0,0.02532896497113688,0.03623089711052409,0.013723417154311031
Mixture6,0.19090313889410906,0.06974692011784227,0.16714480418063457,0.1273108856976005,0.3403014408573631,0.0,0.0,0.031849908523586386,0.023914499168235074,0.01722587325890452,0.031602529301724615
Mixture7,0.11389624801636399,0.19890770801965169,0.21637644040031148,0.17511319450462956,0.0,0.03627483469513426,0.07092128867659461,0.0740624115703902,0.044785489218651324,0.029358755040828362,0.04030362985744456
Mixture8,0.13346479108604486,0.07471636345569332,0.17324595734459955,0.1343405757009777,0.2866239106891726,0.024100178787040575,0.07903553672089843,0.02170948534555937,0.031906039415004674,0.026801528989020256,0.014055632465988612
Mixture9,0.09984162400097561,0.08876317382258628,0.1416510947383781,0.14098533612330832,0.2850649131499864,0.03328708762311607,0.058741395227005985,0.059445689899501185,0.03153129227260155,0.029909009141209607,0.03077938400133097
Mixture10,0.129289870891129,0.12119022076584826,0.1386326025966402,0.11873319777165142,0.19538995511393445,0.029278511050204074,0.11665430988345339,0.047588781004379056,0.03939764273957519,0.03680933828219041,0.027035569900994504
Mixture11,0.18083951727881234,0.17233793250094884,0.0,0.07492887572067843,0.2675791839929867,0.049255444420007524,0.0897484458338369,0.06148493356591649,0.044368410482416014,0.03531296454091733,0.024144291663479346
Mixture12,0.186672733104748,0.0736966241626373,0.20131842724982824,0.058474371639982425,0.28083689733393497,0.0208978830495408,0.1023033384268228,0.0,0.03510857534838275,0.02587903047055154,0.014812119213571097
Mixture13,0.08360643520396761,0.10050955899496415,0.17841591305064722,0.11455869372844471,0.30014319299409575,0.04205125216613675,0.06387909880101146,0.024748671991385723,0.032133333694989025,0.03833544099544981,0.021618408378907855
Mixture14,0.158005714251545,0.0799811446890767,0.17901936144387579,0.11818195267840469,0.2766512574972594,0.03811956161085857,0.09001295559372369,0.0,0.032379101380655737,0.027648950854600493,0.0
Mixture15,0.12440426323188826,0.10534166925818403,0.1734343498509264,0.10369003580411142,0.3363487504485159,0.0399131776875406,0.05829249667325439,0.0,0.03491696668023927,0.023658290365339636,0.0
