sample_id,CD8_positive_alpha_beta_T_cell,B_cell,paneth_cell_of_epithelium_of_small_intestine,fibroblast
Mixture1,0.22653903222211078,0.1673416655405651,0.5100724558441834,0.0960468463931407
Mixture2,0.24695906032266912,0.0984505031204931,0.538098959829783,0.11649147672705486
Mixture3,0.28407132950819436,0.2604243832124642,0.3508958031982295,0.10460848408111197
Mixture4,0.25302865101162364,0.2658333853756304,0.3424909207849132,0.13864704282783277
Mixture5,0.21121872815359682,0.11366108884269044,0.5378569734480082,0.13726320955570454
Mixture6,0.21237751894078927,0.21964458270114182,0.4470234487165045,0.12095444964156438
Mixture7,0.16509955142565458,0.13372494955421801,0.5534102439709523,0.14776525504917506
Mixture8,0.2576579680664042,0.2660161191245228,0.34993342872426514,0.12639248408480794
Mixture9,0.16053773290464277,0.2062994294566577,0.5207476541857059,0.1124151834529936
Mixture10,0.23372903566401276,0.22829856441829577,0.41088169593854396,0.1270907039791474
Mixture11,0.23738004424867593,0.15523592289001614,0.38409851898364467,0.22328551387766316
Mixture12,0.3256237432685114,0.174654885069707,0.42194542506562965,0.07777594659615193
Mixture13,0.3078244806784258,0.23927340726043014,0.2711005495197481,0.18180156254139584
Mixture14,0.2483441372677444,0.1422304701589927,0.5229167549066338,0.08650863766662902
Mixture15,0.15211076101290422,0.21107942596606152,0.5692529206144638,0.0675568924065704
Mixture16,0.29362521347913584,0.2624799917969985,0.3807242834548676,0.06317051126899806
Mixture17,0.14733564675369562,0.1980795446844959,0.5814386818085959,0.0731461267532125
Mixture18,0.2076672150289064,0.23004546686757663,0.4415719366187786,0.12071538148473845
Mixture19,0.2276133142051074,0.17420648145088127,0.45398251029472253,0.14419769404928887
Mixture20,0.10855022136863533,0.24567845710057395,0.5922587119360428,0.05351260959474784
Mixture21,0.256906925227035,0.1113614566625138,0.5760697857919757,0.055661832318475574
Mixture22,0.21377418222747793,0.21474312984725244,0.4719492188724167,0.09953346905285292
Mixture23,0.219230153930546,0.18370445896420767,0.48256286546305,0.11450252164219626
Mixture24,0.24134684062250955,0.1362244404875348,0.4838833563117905,0.13854536257816505
Mixture25,0.34505993928859646,0.23936529176377577,0.3161829440111447,0.09939182493648299
Mixture26,0.15894175579129666,0.21354737122417475,0.5337397969985798,0.09377107598594879
Mixture27,0.23669435481954984,0.27031714142806534,0.40888970970772476,0.08409879404466007
Mixture28,0.22914910688209764,0.17750297814229338,0.5436056721932965,0.04974224278231255
Mixture29,0.15314695775551265,0.32276710201302394,0.34891796190576047,0.17516797832570297
Mixture30,0.17638647460109821,0.19957196599199165,0.4294910735142265,0.19455048589268373
Mixture31,0.26503992155434025,0.11290111086571039,0.532843539365879,0.0892154282140703
Mixture32,0.2668645620827663,0.2836104214899209,0.30250992529153986,0.1470150911357729
Mixture33,0.13701116917394002,0.24736297146855404,0.4884155679001859,0.12721029145731996
Mixture34,0.17173152751215717,0.26301913857699294,0.4027111115683154,0.1625382223425344
Mixture35,0.2470449440758604,0.20306738750688835,0.4816289671245245,0.06825870129272676
Mixture36,0.278697674881283,0.10522500981652243,0.4516220999042691,0.16445521539792549
