sample_id,RGC,AC,BC,HC,Rod,Cone,MG
Macular_19_D013,0.0057,0.0623,0.1885,0.0252,0.6604,0.0292,0.0287
Macular_19_D014,0.0057,0.0539,0.2242,0.0219,0.6099,0.03,0.0545
Macular_19_D015,0.0151,0.0839,0.2974,0.0553,0.4661,0.0482,0.0342
Macular_19_D016,0.038,0.095,0.288,0.0381,0.454,0.0389,0.048
Macular_19_D007,0.0456,0.0706,0.2017,0.0365,0.5007,0.0632,0.0816
Macular_19_D003,0.025,0.0629,0.1895,0.0273,0.5616,0.0379,0.0958
Macular_19_D005,0.0124,0.0392,0.1909,0.0227,0.6429,0.0339,0.058
Macular_19_D006,0.0588,0.0832,0.2485,0.0447,0.4047,0.0604,0.0997
Macular_19_D008,0.0411,0.0897,0.1974,0.0306,0.4941,0.0421,0.1051
Macular_19_D009,0.0118,0.0641,0.2123,0.0296,0.5532,0.0326,0.0964
Macular_19_D010,0.018,0.0636,0.2001,0.0311,0.5484,0.0337,0.1051
Macular_19_D011,0.0292,0.0814,0.262,0.0402,0.4387,0.0438,0.1047
Macular_19_D019,0.0235,0.0686,0.2018,0.0274,0.5701,0.0325,0.076
Macular_D005_13,0.0209,0.0567,0.1405,0.0212,0.6666,0.0308,0.0633
Macular_D009_13,0.0576,0.1074,0.2697,0.0409,0.3605,0.0475,0.1165
Macular_D013_13,0.081,0.0841,0.2406,0.0427,0.3863,0.0532,0.1121
Macular_D017_13,0.0275,0.0735,0.2112,0.0298,0.5357,0.0395,0.0828
Macular_D018_13,0.0277,0.126,0.4262,0.0869,0.0624,0.0365,0.2343
Macular_D019_13,0.0011,0.0668,0.2226,0.0591,0.4809,0.0521,0.1174
Macular_D021_13,0.0866,0.0625,0.2157,0.0503,0.4074,0.0557,0.1219
Macular_D026_13,0.0097,0.0557,0.1793,0.0136,0.6275,0.0313,0.0828
Macular_D027_13,0.0495,0.076,0.2339,0.0349,0.4549,0.0501,0.1007
Macular_D028_13,0.0041,0.0515,0.1693,0.0178,0.6543,0.0274,0.0756
Macular_D030_13,0.003,0.0902,0.2268,0.0517,0.5738,0.0327,0.0218
