sample_id,B cells,mDC,Monocytes,Neutrophils,NK cells,T cell
GSM1576391,1.0,0.0,0.0,0.0,0.0,0.0
GSM1576392,1.0,0.0,0.0,0.0,0.0,0.0
GSM1576393,1.0,0.0,0.0,0.0,0.0,0.0
GSM1576394,1.0,0.0,0.0,0.0,0.0,0.0
GSM1576395,0.0,1.0,0.0,0.0,0.0,0.0
GSM1576396,0.0,1.0,0.0,0.0,0.0,0.0
GSM1576397,0.0,1.0,0.0,0.0,0.0,0.0
GSM1576398,0.0,1.0,0.0,0.0,0.0,0.0
GSM1576399,0.0,0.0,1.0,0.0,0.0,0.0
GSM1576400,0.0,0.0,1.0,0.0,0.0,0.0
GSM1576401,0.0,0.0,1.0,0.0,0.0,0.0
GSM1576402,0.0,0.0,1.0,0.0,0.0,0.0
GSM1576403,0.0,0.0,0.0,1.0,0.0,0.0
GSM1576404,0.0,0.0,0.0,1.0,0.0,0.0
GSM1576405,0.0,0.0,0.0,1.0,0.0,0.0
GSM1576406,0.0,0.0,0.0,1.0,0.0,0.0
GSM1576407,0.0,0.0,0.0,0.0,1.0,0.0
GSM1576408,0.0,0.0,0.0,0.0,1.0,0.0
GSM1576409,0.0,0.0,0.0,0.0,1.0,0.0
GSM1576410,0.0,0.0,0.0,0.0,1.0,0.0
GSM1576415,0.0,0.0,0.0,0.0,0.0,1.0
GSM1576416,0.0,0.0,0.0,0.0,0.0,1.0
GSM1576417,0.0,0.0,0.0,0.0,0.0,1.0
GSM1576418,0.0,0.0,0.0,0.0,0.0,1.0
GSM1576419,1.0,0.0,0.0,0.0,0.0,0.0
GSM1576420,1.0,0.0,0.0,0.0,0.0,0.0
GSM1576421,1.0,0.0,0.0,0.0,0.0,0.0
GSM1576422,1.0,0.0,0.0,0.0,0.0,0.0
GSM1576423,0.0,1.0,0.0,0.0,0.0,0.0
GSM1576424,0.0,1.0,0.0,0.0,0.0,0.0
GSM1576425,0.0,1.0,0.0,0.0,0.0,0.0
GSM1576426,0.0,1.0,0.0,0.0,0.0,0.0
GSM1576427,0.0,0.0,1.0,0.0,0.0,0.0
GSM1576428,0.0,0.0,1.0,0.0,0.0,0.0
GSM1576429,0.0,0.0,1.0,0.0,0.0,0.0
GSM1576430,0.0,0.0,1.0,0.0,0.0,0.0
GSM1576431,0.0,0.0,0.0,1.0,0.0,0.0
GSM1576432,0.0,0.0,0.0,1.0,0.0,0.0
GSM1576433,0.0,0.0,0.0,1.0,0.0,0.0
GSM1576434,0.0,0.0,0.0,1.0,0.0,0.0
GSM1576435,0.0,0.0,0.0,0.0,1.0,0.0
GSM1576436,0.0,0.0,0.0,0.0,1.0,0.0
GSM1576437,0.0,0.0,0.0,0.0,1.0,0.0
GSM1576438,0.0,0.0,0.0,0.0,1.0,0.0
GSM1576443,0.0,0.0,0.0,0.0,0.0,1.0
GSM1576444,0.0,0.0,0.0,0.0,0.0,1.0
GSM1576445,0.0,0.0,0.0,0.0,0.0,1.0
GSM1576446,0.0,0.0,0.0,0.0,0.0,1.0
