sample_id,B cells,Monocytes,Neutrophils,NK cells,T cells CD4,T cells CD8
GSM1479438,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479439,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479440,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479441,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479442,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479443,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479444,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479445,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479446,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479447,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479448,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479449,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479450,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479451,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479452,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479453,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479454,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479455,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479456,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479457,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479458,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479459,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479460,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479461,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479462,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479463,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479464,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479465,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479466,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479467,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479468,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479469,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479470,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479472,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479473,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479474,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479475,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479476,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479478,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479479,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479480,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479481,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479482,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479483,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479485,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479486,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479487,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479488,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479489,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479490,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479492,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479493,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479494,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479495,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479496,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479497,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479499,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479500,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479501,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479502,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479503,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479504,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479506,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479507,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479508,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479509,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479510,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479511,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479513,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479514,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479515,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479516,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479517,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479518,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479520,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479521,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479522,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479523,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479524,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479525,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479527,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479528,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479529,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479530,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479531,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479532,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479534,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479535,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479536,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479537,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479538,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479540,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479541,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479542,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479543,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479544,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479545,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479547,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479548,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479549,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479550,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479551,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479553,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479554,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479555,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479556,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479557,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479558,0.0,0.0,0.0,1.0,0.0,0.0
GSM1479560,0.0,0.0,1.0,0.0,0.0,0.0
GSM1479561,0.0,1.0,0.0,0.0,0.0,0.0
GSM1479562,1.0,0.0,0.0,0.0,0.0,0.0
GSM1479563,0.0,0.0,0.0,0.0,1.0,0.0
GSM1479564,0.0,0.0,0.0,0.0,0.0,1.0
GSM1479565,0.0,0.0,0.0,1.0,0.0,0.0
