sample_id,Monocytes,Granulocytes,Lymphocytes,B cells,NK cells,T cells,T cells CD4,T cells CD8
GSM5774456,0.113,0.0037,0.828,0.0754,0.0956,0.5710000000000001,0.36,0.11800000000000001
GSM5774457,0.153,0.0055000000000000005,0.785,0.0724,0.17800000000000002,0.405,0.223,0.127
GSM5774458,0.11699999999999999,0.0091,0.797,0.0552,0.159,0.469,0.287,0.0581
GSM5774459,0.12,0.0072,0.78,0.0935,0.121,0.369,0.196,0.0764
GSM5774460,0.11199999999999999,0.0115,0.8390000000000001,0.0388,0.0417,0.5379999999999999,0.24100000000000002,0.11599999999999999
GSM5774461,0.10099999999999999,0.005600000000000001,0.8390000000000001,0.0499,0.177,0.568,0.188,0.29100000000000004
GSM5774462,0.162,0.0029,0.7609999999999999,0.057699999999999994,0.135,0.439,0.24100000000000002,0.0962
GSM5774463,0.205,0.012199999999999999,0.733,0.0394,0.175,0.321,0.163,0.09300000000000001
GSM5774464,0.109,0.0146,0.7190000000000001,0.0706,0.07919999999999999,0.428,0.21600000000000003,0.0825
GSM5774465,0.08199999999999999,0.0046,0.882,0.036699999999999997,0.264,0.405,0.218,0.0808
GSM5774466,0.16899999999999998,0.0632,0.733,0.04,0.134,0.392,0.19899999999999998,0.0911
GSM5774467,0.14800000000000002,0.0258,0.795,0.021,0.159,0.503,0.34,0.0407
GSM5774468,0.0567,0.030299999999999997,0.7709999999999999,0.0316,0.0466,0.573,0.276,0.179
GSM5774469,0.263,0.00082,0.6970000000000001,0.0191,0.231,0.233,0.16399999999999998,0.0195
GSM5774470,0.102,0.0407,0.828,0.0183,0.0558,0.368,0.237,0.0364
GSM5774471,0.195,0.0069,0.713,0.0705,0.08460000000000001,0.457,0.23600000000000002,0.11699999999999999
GSM5774472,0.08349999999999999,0.024300000000000002,0.77,0.0285,0.161,0.47700000000000004,0.198,0.182
GSM5774473,0.138,0.018799999999999997,0.789,0.0821,0.225,0.376,0.214,0.08839999999999999
GSM5774474,0.0993,0.0024,0.8640000000000001,0.0722,0.10099999999999999,0.541,0.34,0.0816
GSM5774475,0.06309999999999999,0.0424,0.855,0.0315,0.233,0.381,0.257,0.0271
GSM5774476,0.11800000000000001,0.017,0.826,0.0327,0.158,0.23800000000000002,0.14300000000000002,0.0281
GSM5774477,0.0723,0.0277,0.863,0.0677,0.151,0.376,0.264,0.0055000000000000005
GSM5774478,0.0384,0.013500000000000002,0.767,0.046900000000000004,0.0335,0.6113000000000001,0.461,0.1204
GSM5774479,0.11699999999999999,0.013300000000000001,0.838,0.042699999999999995,0.059699999999999996,0.614,0.312,0.127
GSM5774480,0.149,0.009000000000000001,0.812,0.0395,0.271,0.374,0.147,0.15
GSM5774481,0.171,0.0033,0.7659999999999999,0.055,0.09359999999999999,0.47700000000000004,0.222,0.156
GSM5774482,0.153,0.0268,0.784,0.0432,0.0636,0.5770000000000001,0.29100000000000004,0.146
GSM5774483,0.21,0.038900000000000004,0.7090000000000001,0.16399999999999998,0.0481,0.379,0.182,0.12300000000000001
GSM5774484,0.151,0.244,0.552,0.0747,0.0159,0.384,0.188,0.092
GSM5774485,0.27899999999999997,0.0207,0.6659999999999999,0.0418,0.172,0.306,0.09369999999999999,0.16899999999999998
GSM5774486,0.401,0.0668,0.485,0.0382,0.111,0.24100000000000002,0.124,0.056900000000000006
GSM5774487,0.15,0.0329,0.782,0.0546,0.0435,0.58,0.3,0.149
GSM5774488,0.0701,0.0040999999999999995,0.897,0.043,0.0747,0.65,0.46299999999999997,0.15
GSM5774489,0.35600000000000004,0.0096,0.595,0.0406,0.09720000000000001,0.33799999999999997,0.16699999999999998,0.11599999999999999
GSM5774490,0.1149,0.0144,0.8101,0.0729,0.0644,0.5454,0.2544,0.2047
GSM5774491,0.134,0.0073,0.828,0.154,0.0591,0.49700000000000005,0.233,0.128
GSM5774492,0.24,0.0286,0.71,0.0426,0.13699999999999998,0.439,0.145,0.18600000000000003
GSM5774493,0.14400000000000002,0.0075,0.828,0.0353,0.1,0.607,0.293,0.129
GSM5774494,0.11900000000000001,0.0109,0.845,0.053899999999999997,0.163,0.525,0.214,0.162
GSM5774495,0.133,0.025,0.7959999999999999,0.0143,0.0917,0.525,0.271,0.141
GSM5774496,0.121,0.022799999999999997,0.807,0.060899999999999996,0.0823,0.534,0.344,0.163
GSM5774497,0.0837,0.0053,0.8540000000000001,0.08109999999999999,0.0909,0.608,0.282,0.179
GSM5774498,0.16699999999999998,0.0103,0.787,0.0482,0.109,0.47,0.23600000000000002,0.131
GSM5774499,0.128,0.008100000000000001,0.8420000000000001,0.0797,0.175,0.46399999999999997,0.29,0.056600000000000004
GSM5774500,0.155,0.051500000000000004,0.747,0.06559999999999999,0.07400000000000001,0.466,0.19899999999999998,0.183
GSM5774501,0.174,0.01,0.7759999999999999,0.07440000000000001,0.147,0.368,0.149,0.153
GSM5774502,0.159,0.0021,0.815,0.0294,0.0898,0.5379999999999999,0.239,0.212
GSM5774503,0.273,0.0608,0.627,0.022799999999999997,0.0834,0.3586,0.17120000000000002,0.064
