sample,Plasmablasts,NK_cells,T_cells,Monocytes,B_cells
sample_0,0.0002961273128091,0.1721925485593954,0.4617392544172324,0.3090691731467365,0.0567028965638263
sample_1,6.608253182900585e-06,0.0832806670841887,0.730660170538377,0.1531155193325072,0.0329370347917442
sample_2,0.0003789314134141,0.1115141016618849,0.5023547880690737,0.3243652898825312,0.0613868889730958
sample_3,0.0002219755826859,0.2774694783573807,0.4972253052164262,0.134850166481687,0.0902330743618202
sample_4,0.0004251605540513,0.1499250374812594,0.6041755241782095,0.2112376647497147,0.0342366130367652
sample_5,7.89301179534195e-05,0.0444897879710919,0.7296325227259071,0.2016172508995835,0.024181508285464
sample_6,8.309212667738325e-05,0.0415460633386916,0.8309212667738325,0.1037089701386888,0.0237406076221095
sample_7,0.0007990243492156,0.1261617393498465,0.6413221750283864,0.2127928003700744,0.0189242609024769
sample_8,8.70007734726299e-05,0.0400875294954832,0.7345768918361529,0.1808272614269232,0.0444213164679679
sample_9,0.0001054073995994,0.0460630336249604,0.5439021819331716,0.3541688626541583,0.05576051438811
sample_10,0.0001984389469506,0.0670282665255545,0.7220972791815496,0.17374432244124,0.0369316929047052
sample_11,0.0003259692327104,0.1240786111607659,0.6677111702295454,0.1215549783913944,0.0863292709855837
sample_12,0.0005014563572929,0.1376337661506289,0.648692479221569,0.1655872907486636,0.0475850075218453
sample_13,4.888177623623075e-05,0.1540838598750751,0.6970966350210297,0.1088150844910876,0.0399555388365712
sample_14,0.0001455392228205,0.0952242343597313,0.6694804249745306,0.1958542112813689,0.0392955901615485
sample_15,0.0006535809913347,0.1264995467099576,0.5650313086378107,0.2858889755645042,0.0219265880963926
sample_16,0.0002222433882591,0.0655088844440211,0.5566667724968516,0.3601401191647882,0.0174619805060799
sample_17,7.847221578129407e-05,0.2334366047146065,0.4251881014444619,0.2902325643438301,0.0510642572813201
sample_18,0.0001254285475374,0.0584287983945145,0.7943808010703236,0.1211430721632243,0.0259218998244
sample_19,0.000250563768479,0.1339971457518547,0.4314054448596298,0.3749741265673852,0.059372719052651
sample_20,0.0001478446364077,0.0863835089868418,0.6526284664287072,0.2158531691553847,0.0449870107926584
sample_21,0.0007575676742672,0.1237716200211265,0.7436967168510793,0.0924019163261168,0.03937217912741
sample_22,0.0001225465166152,0.1031433181511815,0.7740854966197586,0.080880700966075,0.0417679377463695
sample_23,4.101145915274564e-05,0.1398840467225433,0.6814048639590555,0.1345854085891136,0.0440846692701348
sample_24,1.75710749983684e-05,0.2259138214075937,0.5407289151283609,0.1913992098036558,0.0419404825853912
sample_25,5.0463950292584906e-05,0.0864036123707073,0.6944094000345191,0.1898759138109654,0.0292606098335156
sample_26,9.318392808353584e-05,0.0944503008321229,0.5920292599644804,0.2525358322807489,0.0608914229945641
sample_27,0.0001051872315919,0.0799826233829983,0.7561382462678417,0.1390174168323543,0.0247565262852137
sample_28,3.859053785456116e-05,0.1579667620969674,0.7071398007964917,0.0545992499865357,0.0802555965821505
sample_29,1.6982833941322307e-05,0.0683532695278065,0.7246712371235046,0.1643432005004978,0.0426153100142497
sample_30,0.000227713861268,0.253738302555817,0.5779594669326942,0.148664620856421,0.0194098957937996
sample_31,0.0002969088489833,0.2639189768740996,0.4310676622276961,0.2549017451642346,0.0498147068849863
sample_32,0.0004221431179262,0.353687477181453,0.3365735669952537,0.2895673603504928,0.019749452354874
sample_33,2.2439742767488256e-05,0.1148079862522654,0.672148574058718,0.1881807265571224,0.0248402733891265
sample_34,0.0001813584817094,0.1007072980786669,0.5920821020514845,0.2716109967248791,0.0354182446632599
sample_35,5.960945060607829e-05,0.0953316896760231,0.5787219885799585,0.3110766411410096,0.0148100711524026
sample_36,0.0001249323283221,0.1467954857785366,0.532003498105193,0.2930704201890642,0.0280056635988839
sample_37,2.075098922149933e-05,0.1485333965328373,0.6869669589643727,0.1373933917928745,0.0270855017206938
sample_38,0.0003925700944234,0.0334717659455773,0.7252215954875101,0.208681997561933,0.032232070910556
sample_39,0.0001146299017309,0.141724242140036,0.6064963891580956,0.2073759131313762,0.0442888256687612
sample_40,0.0001321097934006,0.1107689806205095,0.7062792801032489,0.1354633496946231,0.0473562797882178
sample_41,1.1207673322967294e-05,0.136395269685168,0.7200401446170496,0.11799776819275,0.0255556098317093
sample_42,0.0009131493506493,0.2495941558441559,0.5620941558441558,0.1261160714285714,0.0612824675324675
sample_43,4.0735068647257714e-05,0.1016209957210844,0.683612455223926,0.1859079196773782,0.0288178943089642
sample_44,3.615481305541029e-05,0.0511935672038145,0.7282465193782073,0.200551057033857,0.0199727015710656
sample_45,4.442836560736749e-05,0.1586727343120267,0.6516160289080566,0.1618461889982672,0.027820619416042
sample_46,0.0001790472579439,0.0944737590445195,0.6772199226937132,0.1829441688520964,0.0451831021517267
sample_47,0.0003384739057773,0.1100040193776311,0.6134839542214042,0.2230754585263692,0.053098093968818
sample_48,0.0002818855978143,0.0925885771282362,0.6917038900212499,0.1611084609046359,0.0543171863480636
sample_49,1.1720599222790624e-05,0.2732046842043021,0.6043618771792139,0.0821979461134155,0.0402237719038455
sample_50,2.5096289156587168e-05,0.0620266008422967,0.7488079772737799,0.1228289924574429,0.0663113331373238
sample_51,0.0001359932212609,0.0562802715680018,0.7699308526774973,0.141328339941209,0.0323245425920307
sample_52,0.0001032844453625,0.043999173724437,0.7271224953522,0.2121462507746333,0.016628795703367
