benchmark,dataset,method,pearson,spearman,rmse,mae,ccc
pseudo,cellxgene_Heart_Left_Ventricle,recide,0.03628931131460064,0.6293333333333334,0.1812713493237344,0.10736675724399208,0.07534862591544415
pseudo,cellxgene_Heart_Left_Ventricle,fardeep,0.7838023434574218,0.8950077856341038,0.06434532227024102,0.04048766434474664,0.7911737762761138
pseudo,cellxgene_Heart_Left_Ventricle,methylresolver,0.8102424737325833,0.8761976355608977,0.04633902079408949,0.035004835730378325,0.7983644492003018
pseudo,cellxgene_Heart_Left_Ventricle,deconrnaseq,0.523658199210128,0.7901924806882618,0.20452815105816885,0.12297046375611753,0.5699762772007638
pseudo,cellxgene_Heart_Left_Ventricle,cibersortx,0.8876737863153452,0.9544822164222196,0.0244479330394376,0.019130020896915574,0.911481688923502
pseudo,cellxgene_Heart_Left_Ventricle,scdc,0.6258892242918164,0.7142499299457179,0.1092454785270902,0.07078737559626992,0.5891263277579551
pseudo,cellxgene_Heart_Left_Ventricle,squid,0.0,0.0,0.10505916168468506,0.08497225974431302,0.0
pseudo,cellxgene_Heart_Left_Ventricle,momf,0.19318891311576739,-0.5518336416677778,0.22188659159338261,0.18647338135268163,0.3063758945553729
pseudo,cellxgene_Heart_Left_Ventricle,deconpeaker,0.5744731425630223,0.5995591015451532,0.12715378509723146,0.07560678120524797,0.6209871852705411
pseudo,cellxgene_Heart_Left_Ventricle,demixsc,0.6725803356303427,0.8060293363655014,0.09744056225289666,0.055876741349510005,0.6767404076020701
pseudo,cellxgene_Heart_Left_Ventricle,diffformer,0.6725803356303324,0.8060293363655014,0.09744056225290783,0.05587674134951596,0.6767404076020701
pseudo,cellxgene_Heart_Left_Ventricle,refactor,0.11133429571347651,0.1559382855380994,0.20046749039265463,0.13258174940702447,0.10657012623630967
pseudo,cellxgene_Heart_Left_Ventricle,cpm,0.6662145774514188,0.3746666666666667,0.07470345822357843,0.05756274778703404,0.7138941963488814
pseudo,cellxgene_Heart_Left_Ventricle,dwls,0.9806687884957328,0.9781666666666666,0.012864740444670944,0.008971796937702005,0.9762274824716974
pseudo,cellxgene_Heart_Left_Ventricle,deconica,0.029748287950309767,0.02251137197982273,0.24483055798957154,0.1457668620707068,-0.017688666798717265
pseudo,cellxgene_Heart_Left_Ventricle,bayice,0.7517879504259299,0.7111666666666666,0.07898806223268881,0.0574902358053072,0.7361766396212533
pseudo,cellxgene_Heart_Left_Ventricle,nnls,0.672580319180501,0.8060293363655014,0.09744056595603348,0.055876745236245605,0.6767404076020701
pseudo,cellxgene_Heart_Left_Ventricle,nitumid,0.8357446225880676,0.5569999999999999,0.06766061663482735,0.05093935492240694,0.8314055946585495
pseudo,cellxgene_Heart_Left_Ventricle,linseed,0.06635586844105851,0.32655065967370717,0.23607870708183235,0.16700871680403068,0.0664391989646417
pseudo,cellxgene_Heart_Left_Ventricle,emeth,0.6611353298878834,0.7226746481441162,0.08065284412729959,0.05058407839723069,0.6441640665435628
pseudo,cellxgene_Heart_Left_Ventricle,rna-sieve,0.758156877475145,0.8458333333333333,0.14965953919729474,0.09092528090457065,0.887119472806241
pseudo,cellxgene_Heart_Left_Ventricle,countbridges,0.7502965138972026,0.8760000000000001,0.14815094228883147,0.08932465840032924,0.8789883359469268
pseudo,cellxgene_Heart_Left_Ventricle,scgpt/da,0.7604419183329787,0.9308333333333334,0.026941028282358174,0.02037436724729728,0.7480026314373758
pseudo,cellxgene_Heart_Left_Ventricle,scgpt/mmd,0.7508571771328658,0.94,0.029070219986608255,0.021781471443066355,0.740581642801743
pseudo,cellxgene_Heart_Left_Ventricle,scgpt/lr_7e5,0.7535675758484293,0.9383333333333335,0.027964141247636402,0.021730582095273517,0.7422580417769
pseudo,cellxgene_Heart_Left_Ventricle,scgpt/finetune,0.7335439941097808,0.9388333333333333,0.02907430685535767,0.02217083446650768,0.719371039824058
pseudo,cellxgene_Heart_Left_Ventricle,scgpt/frozen,0.24828154102645433,0.3443333333333333,0.08549685759254672,0.06956616935940775,0.26027445985161457
pseudo,cellxgene_Heart_Left_Ventricle,nusvr,0.8933795901136787,0.956461130633184,0.02501667579571521,0.019459100721475074,0.9004334792677129
pseudo,cellxgene_Heart_Left_Ventricle,immucellai,0.7793577587259676,0.927846612281901,0.04178392604025311,0.029948231860595968,0.7702015341792458
pseudo,cellxgene_Heart_Left_Ventricle,deseq2,0.974981041346489,0.9768333333333333,0.012196571533442991,0.008545298651081322,0.9696915733200906
pseudo,cellxgene_Heart_Left_Ventricle,mixture,0.855891217298912,0.9481922959244252,0.03475556729862316,0.024405935215750116,0.8608088529938245
pseudo,cellxgene_Heart_Left_Ventricle,hspe,0.7222468365309137,0.2551666666666666,0.15037635279206035,0.10948406076381628,0.7311698328826025
pseudo,cellxgene_Heart_Left_Ventricle,prede,0.8166225283593117,0.8011257925630565,0.05158991769551776,0.04003363768243172,0.7969112623775974
pseudo,cellxgene_Heart_Left_Ventricle,bisqueref,0.6982048465520116,0.8296666666666667,0.06839273739495651,0.04777819975476926,0.7198297232956148
pseudo,cellxgene_Heart_Left_Ventricle,dsa,0.22928242789879866,-0.09922426389474776,0.18129861172130526,0.1327598285550446,0.23625142216169281
pseudo,cellxgene_Heart_Left_Ventricle,demixt,0.0,0.4313315140353183,0.26336190714177915,0.1570874987782317,0.0
pseudo,cellxgene_Heart_Left_Ventricle,decompress,-0.12116798811094862,-0.15971079868213756,0.21686889529301945,0.1539980425557191,-0.09740312152990299
pseudo,cellxgene_Heart_Left_Ventricle,aric,0.5152281965910829,0.8088473448788719,0.07390259932648668,0.04915423016007649,0.44920431348862855
pseudo,cellxgene_Heart_Left_Ventricle,deconvseq,0.3056001200471664,0.2645,0.16673804967005973,0.11795298357719597,0.11591024636115711
pseudo,cellxgene_Heart_Left_Ventricle,scgpt_lora/default,0.6964072701003816,0.9430789661045459,0.014791215769946575,0.010704189538955688,0.6704682451246784
pseudo,cellxgene_Heart_Left_Ventricle,bayesprism,0.491964316455048,0.7078333333333332,0.1952693593337852,0.1172482178614074,0.5336254576040181
pseudo,cellxgene_Heart_Left_Ventricle,sweetwater,0.16558446780535505,-0.29266666666666663,0.1060237481533581,0.08639257120138527,0.18810128348283886
pseudo,cellxgene_Heart_Left_Ventricle,toast,0.6557487554469281,0.28950000000000004,0.11344810322031497,0.09014212840211513,0.6618451248456764
pseudo,cellxgene_Heart_Left_Ventricle,geneformer/longer,0.305635689040037,0.6265,0.07454660684670121,0.060747532430696305,0.2587775926416488
pseudo,cellxgene_Heart_Left_Ventricle,geneformer/wider,0.2997128599869528,0.5651666666666666,0.08251795560312587,0.06459607852437578,0.24270683447666894
pseudo,cellxgene_Heart_Left_Ventricle,geneformer/finetune_pb5k,0.7883975188023835,0.9216666666666669,0.03604072102832075,0.025663394064180854,0.7659281311852373
pseudo,cellxgene_Heart_Left_Ventricle,geneformer/realbulk,0.23145532927045429,0.6115,0.07002079824140027,0.0561048502679832,0.176356262789186
pseudo,cellxgene_Heart_Left_Ventricle,geneformer/finetune,0.7506295853900755,0.9175000000000001,0.03303645657439663,0.0243639051007069,0.72386237402074
